# Retrieved from https://en.wikipedia.org/wiki/Herschel-400-Catalogue, open with lib.stars.catalog.HerschelCatalog.java

# Column - Description
# A - Herschel number
# B - Messier or Caldwell number
# C - NGC or IC number
# D - Common name
# E - Type of object
# F - Distance in kilo light years (kly)
# G - Constellation
# H - Apparent visual magnitude
# I - Additional Messier or Caldwell number
# J - Additional NGC or IC number
# K - Additional common name

181,,NGC 3686,,Galaxy,53000,Leo,11.4,,,
182,,NGC 3726,,Galaxy,45000,Ursa Major,10.4,,,
183,,NGC 3729,,Galaxy,65700,Ursa Major,11.4,,,
184,,NGC 3810,,Galaxy,51200,Leo,10.8,,,
185,,NGC 3813,,Galaxy,,Ursa Major,11.7,,,
186,,NGC 3877,,Galaxy,50000,Ursa Major,12,,,
187,,NGC 3893,,Galaxy,51400,Ursa Major,11,,,
188,,NGC 3898,,Galaxy,,Ursa Major,10.8,,,
189,,NGC 3900,,Galaxy,,Leo,11.4,,,
190,,NGC 3912,,Galaxy,,Leo,13,,,
191,,NGC 3938,,Galaxy,43000,Ursa Major,10.4,,,
192,,NGC 3941,,Galaxy,40000,Ursa Major,11,,,
193,,NGC 3945,,Galaxy,,Ursa Major,10.6,,,
194,,NGC 3949,,Galaxy,50000,Ursa Major,11,,,
195,,NGC 3953,,Galaxy,56000,Ursa Major,10.1,,,
196,,NGC 3962,,Galaxy,,Crater,10.6,,,
197,,NGC 3982,,Galaxy,67000,Ursa Major,12,,,
198,M109,NGC 3992,,Galaxy,55000,Ursa Major,9.8,,,
199,,NGC 3998,,Galaxy,,Ursa Major,10.6,,,
200,,NGC 4026,,Galaxy,52000,Ursa Major,12,,,
201,,NGC 4027,,Galaxy,68000,Corvus,11.1,,,
202,,NGC 4030,,Galaxy,75000,Virgo,12,,,
203,,NGC 4036,,Galaxy,62000,Ursa Major,10.6,,,
204,C60,NGC 4038,Antennae Galaxies,Galaxy,83000,Corvus,10.7,C61,NGC 4039,
205,,NGC 4041,,Galaxy,70000,Ursa Major,11.1,,,
206,,NGC 4051,,Galaxy,45000,Ursa Major,10.3,,,
207,,NGC 4085,,Galaxy,50000,Ursa Major,12.3,,,
208,,NGC 4088,,Galaxy,50000,Ursa Major,10.5,,,
209,,NGC 4102,,Galaxy,69000,Ursa Major,12,,,
210,,NGC 4111,,Galaxy,45000,Canes Venatici,10.8,,,
211,,NGC 4143,,Galaxy,,Canes Venatici,12,,,
212,,NGC 4147,,Globular Cluster,60,Coma Berenices,10.3,,,
213,,NGC 4150,,Galaxy,,Coma Berenices,11.7,,,
214,,NGC 4151,,Galaxy,62000,Canes Venatici,10.4,,,
215,,NGC 4179,,Galaxy,,Virgo,10.9,,,
216,,NGC 4203,,Galaxy,50000,Coma Berenices,10.7,,,
217,,NGC 4214,,Galaxy,10000,Canes Venatici,9.7,,,
218,,NGC 4216,,Galaxy,40000,Virgo,10,,,
219,,NGC 4245,,Galaxy,,Coma Berenices,11.4,,,
220,,NGC 4251,,Galaxy,,Coma Berenices,12,,,
221,M106,NGC 4258,,Galaxy,25000,Canes Venatici,8.3,,,
222,,NGC 4261,,Galaxy,95000,Virgo,10.3,,,
223,,NGC 4273,,Galaxy,,Virgo,11.9,,,
224,,NGC 4274,,Galaxy,45000,Coma Berenices,10.4,,,
225,,NGC 4278,,Galaxy,55100,Coma Berenices,10.2,,,
226,,NGC 4281,,Galaxy,,Virgo,11.3,,,
227,,NGC 4293,,Galaxy,54000,Coma Berenices,11,,,
228,M61,NGC 4303,,Galaxy,60000,Virgo,9.7,,,
229,,NGC 4314,,Galaxy,40000,Coma Berenices,10.5,,,
230,,NGC 4346,,Galaxy,,Canes Venatici,12,,,
231,,NGC 4350,,Galaxy,,Coma Berenices,11.1,,,
232,,NGC 4361,,Planetary Nebula,,Corvus,10,,,
233,,NGC 4365,,Galaxy,,Virgo,11,,,
234,,NGC 4371,,Galaxy,,Virgo,10.8,,,
235,,NGC 4394,,Galaxy,40000,Coma Berenices,10.9,,,
236,,NGC 4414,,Galaxy,62000,Coma Berenices,10.3,,,
237,,NGC 4419,,Galaxy,,Coma Berenices,11.1,,,
238,,NGC 4429,,Galaxy,55000,Virgo,10.2,,,
239,,NGC 4435,The Eyes,Galaxy,52000,Virgo,10.9,,,
240,,NGC 4438,The Eyes,Galaxy,52000,Virgo,10.1,,,
241,,NGC 4442,,Galaxy,,Virgo,10.5,,,
242,,NGC 4448,,Galaxy,45000,Coma Berenices,11.1,,,
243,C21,NGC 4449,,Galaxy,10000,Canes Venatici,9.4,,,
244,,NGC 4450,,Galaxy,50000,Coma Berenices,10.1,,,
245,,NGC 4459,,Galaxy,50000,Coma Berenices,10.4,,,
246,,NGC 4473,,Galaxy,50000,Coma Berenices,10.2,,,
247,,NGC 4477,,Galaxy,55000,Coma Berenices,10.4,,,
