https://heasarc.gsfc.nasa.gov/cgi-bin/W3Browse/w3browse.pl

Results from heasarc_ngc2000: NGC2000.0: Complete New General Catalog and Index Catalog
Coordinate system:  Equatorial, angular diameter in minutes of arc
|name    |ra     |dec   |app_mag|app_mag_flag|limit_ang_diameter|ang_diameter|source_type|lii   |bii   |ref_revision|constellation|description                                          |class                                              |
|IC 4661 |17 51.0|-74 02|       |            |                  |  2.5       |Gx         |319.58|-22.00|C           |Aps          |eF, vS, R, cbM                                       |                                             GALAXY|
|IC 5130 |21 50.4|-74 00|       |            |                  |  2.4       |Gx         |317.25|-37.66|C           |Ind          |vF, vS                                               |                                             GALAXY|
|IC 4644 |17 24.6|-73 56|       |            |                  |  2.1       |Gx         |318.84|-20.31|C           |Aps          |eF, vS, mE 135deg                                    |                                             GALAXY|
|NGC 3059|09 50.2|-73 55| 12.0  |p           |                  |  3.2       |Gx         |291.15|-15.35|S           |Car          |F, L, iR, glbM, S* inv                               |                                             GALAXY|
|IC 4964 |20 17.4|-73 53|       |            |                  |  1.3       |Gx         |320.65|-31.91|C           |Pav          |F, S, cbM                                            |                                             GALAXY|
|NGC 2209|06 08.7|-73 51|       |            |                  |            |Gb         |284.73|-28.94|R           |Men          |vF, cL, R, gvlbM                                     |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 5087 |21 14.3|-73 46|       |            |                  |  1.4       |Gx         |319.15|-35.66|C           |Pav          |vF, vS, *11 np 3'                                    |                                             GALAXY|
|IC 2980 |11 57.5|-73 41|       |            |                  |  2.0       |Gx         |299.10|-11.21|C           |Mus          |eeF, eS, R, cbM                                      |                                             GALAXY|
|IC 5077 |21 09.0|-73 39|       |            |                  |            |U          |319.49|-35.38|D           |Pav          |eF, eS, *10 np 2'                                    |                                       UNIDENTIFIED|
|NGC 6932|20 42.1|-73 37|       |            |                  |  2.0       |Gx         |320.39|-33.64|C           |Pav          |F, S, R, gbM, 5 st p                                 |                                             GALAXY|
|NGC 602 |01 29.6|-73 33|       |            |                  |            |C+N        |299.23|-43.30|R           |Hyi          |B, S, R, psbM*, r                                    |                                  OPEN STAR CLUSTER|
|NGC 269 |00 48.5|-73 32| 12.0  |p           |                  |            |Gb         |303.22|-43.59|R           |Tuc          |vF, S, R                                             |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|NGC 256 |00 45.9|-73 30| 12.0  |p           |                  |            |C+N        |303.47|-43.62|R           |Tuc          |F, S, R, gbM, *9 nf 40"                              |                                  OPEN STAR CLUSTER|
|NGC 265 |00 47.6|-73 29| 12.0  |p           |                  |            |Gb         |303.31|-43.64|R           |Tuc          |F, pS, R                                             |GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC|
|IC 5014 |20 35.3|-73 28|       |            |                  |            |U          |320.74|-33.23|D           |Pav          |F, S, bM, bet 2 F st                                 |                                       UNIDENTIFIED|
|IC 1662 |01 12.6|-73 27|       |            |                  |            |OC         |300.85|-43.59|X           |Tuc          |vF, eS; vS Cl?                                       |                                  OPEN STAR CLUSTER|
